Area,Utility Group,Utility,Indicator Category,Indicator Sub Category,Indicator Code,Derived,Indicator Name,Unit,Footnote (2022-2023),2022-2023,2021-2022,2020-2021,2019-2020,2018-2019,2017-2018,2016-2017,2015-2016,2014-2015,2013-2014,2012-2013,2011-2012,2010-2011,2009-2010,2008-2009,2007-2008,2006-2007,2005-2006,2004-2005,2003-2004,2002-2003
New South Wales - Country,"Small—10,000–20,000 connected properties",Goulburn Mulwaree Council,Customers,Connected Properties and Population,C7,Report,Number of connected non-residential properties: wastewater,population 000s,,1,1,1,1,1,1,1,0.953,1,1,0.8,1,0.9,0.8,,,,,,,
New South Wales - Country,"Small—10,000–20,000 connected properties",Goulburn Mulwaree Council,Customers,Connected Properties and Population,C8,Derived,Total number of connected properties: wastewater,population 000s,,11,11,11,11,11,11,10.92,10.873,10.7,10.6,9.6,10.3,10.2,9.6,,,,,,,
New South Wales - Country,"Small—10,000–20,000 connected properties",Goulburn Mulwaree Council,Customers,Water quality complaints,C9,Derived,"Number of water quality complaints per 1,000 properties: water supply","complaints/1,000 properties",,25.5,24.2,8.7,7.2,8,12.2,7.5,19.7,4.5,7.7,3,1.4,2,3.6,,,,,,,
New South Wales - Country,"Small—10,000–20,000 connected properties",Goulburn Mulwaree Council,Customers,Water service complaints,C10,Derived,"Number of water service complaints per 1,000 properties","complaints/1,000 properties",,43.6,41.5,44.1,44,44.9,38.7,41.6,50.7,35.7,27.9,27.6,28.3,6.2,38,,,,,,,
New South Wales - Country,"Small—10,000–20,000 connected properties",Goulburn Mulwaree Council,Customers,Wastewater service complaints,C11,Derived,"Number of sewerage service complaints per 1,000 properties","complaints/1,000 properties",,32.2,20.4,21.7,28.1,30.8,18.8,0,29.2,28.5,29.9,21,28.4,32.4,41.5,,,,,,,
New South Wales - Country,"Small—10,000–20,000 connected properties",Goulburn Mulwaree Council,Customers,Billing and account complaints,C12,Derived,"Number of billing and account complaints per 1,000 properties: water supply and sewerage","complaints/1,000 properties",,No Data,No data,No data,No data,No data,No data,0,0,0,0,0,,,0,,,,,,,
New South Wales - Country,"Small—10,000–20,000 connected properties",Goulburn Mulwaree Council,Customers,Total water and wastewater complaints,C13,Derived,"Number of water and sewerage complaints per 1,000 properties","complaints/1,000 properties",,97,84,72,76,80.2,69,0,98.49,,,,,41,,,,,,,,
New South Wales - Country,"Small—10,000–20,000 connected properties",Goulburn Mulwaree Council,Customers,Connect time to a telephone operator,C14,Report,Percentage of calls answered by an operator within 30 seconds,%,,79,69,No data,No data,No data,No data,Not applicable,,,,,,,,,,,,,,
New South Wales - Country,"Small—10,000–20,000 connected properties",Goulburn Mulwaree Council,Customers,Average duration of unplanned water supply interruptions,C15,Report,Average duration of an unplanned interruption: water supply,minutes,,No data,No data,No data,No data,No data,180,180,180,,,,,,,,,,,,,
New South Wales - Country,"Small—10,000–20,000 connected properties",Goulburn Mulwaree Council,Customers,Water interruption frequency,C17,Derived,"Number of unplanned interruptions per 1,000 properties","interruptions/ 1,000 properties",,54.8,75,86,78,45,131,0,,3,17,276,,,,,,,,,,
New South Wales - Country,"Small—10,000–20,000 connected properties",Goulburn Mulwaree Council,Customers,Restrictions or legal action for non-payment of water bill,C18,Derived,"Number of restrictions for non-payment of water bills per 1,000 properties","restrictions/1,000 properties",,4,4,0,3,4,4,3,7,4,5,2,3,5,8,,,,,,,
New South Wales - Country,"Small—10,000–20,000 connected properties",Goulburn Mulwaree Council,Customers,Restrictions or legal action for non-payment of water bill,C19,Derived,Number of legal actions taken for non-payment of water bills per 1000 properties,"legal actions/1,000 properties",,0,0,0,1,1,3,0,,0,0,1,0,0,0,,,,,,,
New South Wales - Country,"Small—10,000–20,000 connected properties",Goulburn Mulwaree Council,Customers,Water service complaints,IC10,Report,Number of water service complaints.,complaints,,555,524,550,537,537,454,476,572,400,290,274,306,66,388,,,,,,,
New South Wales - Country,"Small—10,000–20,000 connected properties",Goulburn Mulwaree Council,Customers,Wastewater service complaints,IC11,Report,Number of sewerage service complaints,complaints,,354,229,239,306,326,211,Not applicable,318,306,316,202,293,330,398,,,,,,,
New South Wales - Country,"Small—10,000–20,000 connected properties",Goulburn Mulwaree Council,Customers,Billing and account complaints,IC12,Report,Number of billing and account complaints: water supply and sewerage,complaints,,No data,No data,No data,No data,No data,No data,0,0,0,0,0,,,0,,,,,,,
New South Wales - Country,"Small—10,000–20,000 connected properties",Goulburn Mulwaree Council,Customers,Total water and wastewater complaints,IC13,Report,Number of water and sewerage complaints,complaints,,1241,1059,898,931,959,808,Not applicable,1112,,,,,,,,,,,,,
New South Wales - Country,"Small—10,000–20,000 connected properties",Goulburn Mulwaree Council,Customers,Water interruption frequency,IC17,Report,Number of unplanned interruptions: water supply,interruptions,,712,952,1069,957,No data,1534,Not applicable,,30,178,2737,,,,,,,,,,
New South Wales - Country,"Small—10,000–20,000 connected properties",Goulburn Mulwaree Council,Customers,Restrictions or legal action for non-payment of water bill,IC18,Report,Number of restrictions for non-payment of water bills,restrictions,,48,47,2,41,43,50,35,76,45,48,24,32,53,82,,,,,,,
New South Wales - Country,"Small—10,000–20,000 connected properties",Goulburn Mulwaree Council,Customers,Restrictions or legal action for non-payment of water bill,IC19,Report,Number of legal actions taken for non-payment of water bills,legal actions,,4,2,0,12,12,31,Not applicable,,1,1,5,0,0,0,,,,,,,
New South Wales - Country,"Small—10,000–20,000 connected properties",Goulburn Mulwaree Council,Customers,Water quality complaints,IC9,Report,Number of water quality complaints: water supply,complaints,,332,306,109,88,96,143,86,222,50,80,30,15,21,37,,,,,,,
New South Wales - Country,"Small—10,000–20,000 connected properties",Goulburn Mulwaree Council,Environment,Comparative wastewater treatment levels,E1,Derived,Percentage of wastewater only treated to a primary level,%,,0.4,0.5,2.2,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
New South Wales - Country,"Small—10,000–20,000 connected properties",Goulburn Mulwaree Council,Environment,Comparative wastewater treatment levels,E2,Derived,Percentage of wastewater only treated to a secondary level,%,,1.6,4.6,2,0,0,0,100,100,0,0,0,1.6,0,0,,,,,,,
New South Wales - Country,"Small—10,000–20,000 connected properties",Goulburn Mulwaree Council,Environment,Comparative wastewater treatment levels,E3,Derived,Percentage of wastewater treated to a tertiary level,%,,75.9,65.8,83.1,105.3,97.9,93,0,0,100,100,100,98.4,100,100,,,,,,,
New South Wales - Country,"Small—10,000–20,000 connected properties",Goulburn Mulwaree Council,Environment,Biosolids reuse,E8,Report,Percentage of biosolids reused,%,,100,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
New South Wales - Country,"Small—10,000–20,000 connected properties",Goulburn Mulwaree Council,Environment,Net greenhouse gas emissions,E9,Derived,"Net greenhouse gas emissions per 1,000 properties: water supply","t CO2 equivalents/1,000 properties",,108,92,125,87,99,112,108.5,110,99,118,116,91,113,114,,,,,,,
New South Wales - Country,"Small—10,000–20,000 connected properties",Goulburn Mulwaree Council,Environment,Net greenhouse gas emissions,E10,Derived,"Net greenhouse gas emissions per 1,000 properties: wastewater","t CO2 equivalents/1,000 properties",,853.73,947,808,639,693,575.09,662.55,552.84,346,472,493,463,175,169,,,,,,,
New South Wales - Country,"Small—10,000–20,000 connected properties",Goulburn Mulwaree Council,Environment,Net greenhouse gas emissions,E11,Derived,"Net greenhouse gas emissions per 1,000 properties: other","t CO2 equivalents/1,000 properties",,12.38,14,16,30,30,20,19.84,19.66,17.9,19.7,22.4,21.6,1.9,1.6,,,,,,,
New South Wales - Country,"Small—10,000–20,000 connected properties",Goulburn Mulwaree Council,Environment,Net greenhouse gas emissions,E12,Derived,"Total net greenhouse gas emissions per 1,000 properties","t CO2 equivalents/1,000 properties",,858,948,855,687,744,670,760.6,662,449,618,615,558.8,280.7,274.6,,,,,,,
New South Wales - Country,"Small—10,000–20,000 connected properties",Goulburn Mulwaree Council,Environment,Comparative wastewater treatment levels,IE1,Report,Volume of wastewater only treated to a primary level,ML,,16,24,69,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
New South Wales - Country,"Small—10,000–20,000 connected properties",Goulburn Mulwaree Council,Environment,Net greenhouse gas emissions,IE10,Report,Net greenhouse gas emissions: wastewater,t CO2 equivalents,,9391,10631,8914,6961,7340,6326,7235,6011,3717,4986,4740,4769,1785,1622,,,,,,,
New South Wales - Country,"Small—10,000–20,000 connected properties",Goulburn Mulwaree Council,Environment,Net greenhouse gas emissions,IE11,Report,Net greenhouse gas emissions: other,t CO2 equivalents,,161,177,199,366,358,236,227,222,200,205,222,233,20,16,,,,,,,
New South Wales - Country,"Small—10,000–20,000 connected properties",Goulburn Mulwaree Council,Environment,Net greenhouse gas emissions,IE12,Derived,Total net greenhouse gas emissions,ML,,10924,11974,10675,8390,8887,7873,8703,7475,5027,6418,6112,5979,3063,2801,,,,,,,
New South Wales - Country,"Small—10,000–20,000 connected properties",Goulburn Mulwaree Council,Environment,Comparative wastewater treatment levels,IE2,Report,Volume of wastewater only treated to a secondary level,ML,,60,230,65,4150,0,0,2114,2054,1933,1847,1788,1689,1517,1576,,,,,,,
New South Wales - Country,"Small—10,000–20,000 connected properties",Goulburn Mulwaree Council,Environment,Comparative wastewater treatment levels,IE3,Report,Volume of wastewater treated to a tertiary level,ML,,2846,3292,2659,2023,1972,1925,0,0,0,0,,0,0,0,,,,,,,
New South Wales - Country,"Small—10,000–20,000 connected properties",Goulburn Mulwaree Council,Environment,Net greenhouse gas emissions,IE9,Report,Net greenhouse gas emissions: water supply,t CO2 equivalents,,1372,1166,1563,1063,1189,1311,1241,1242,1110,1227,1150,977,1198,1163,,,,,,,
New South Wales - Country,"Small—10,000–20,000 connected properties",Goulburn Mulwaree Council,Finance,Revenue,F1,Report,Total revenue: water supply,$ 000s,,10735,,14414.641,13778.187,12917.055,17616.127,14052.295,12979.801,12423.592,12647.776,12222.693,10989.639,10508.656,9952.757,,,,,,,
New South Wales - Country,"Small—10,000–20,000 connected properties",Goulburn Mulwaree Council,Finance,Revenue,F2,Report,Total revenue: wastewater,$ 000s,,13060,,18974.34,16204.621,15768.453,21587.507,16683.373,13828.947,13566.091,13477.117,13794.054,12900.309,12179.662,11449.829,,,,,,,
New South Wales - Country,"Small—10,000–20,000 connected properties",Goulburn Mulwaree Council,Finance,Revenue,F3,Report,Total income for the utility,$ 000s,,23795,,33394.569,30020.295,31023.494,38598.683,30804.843,27212.7,25992.143,26380.075,25967.923,24173.788,22639.922,22031.91,,,,,,,
New South Wales - Country,"Small—10,000–20,000 connected properties",Goulburn Mulwaree Council,Finance,Revenue,F4,Report,Percentage of residential revenue from usage charges: water supply,%,,71,,No data,69,71.3,73.4,72.9,73,65,66,51.9,42,40.7,40.4,,,,,,,
New South Wales - Country,"Small—10,000–20,000 connected properties",Goulburn Mulwaree Council,Finance,Revenue,F5,Derived,Revenue per property: water supply,$/property,,825.77,,1154.74,1129.15,1080.93,1500.09,1228.21,1149.57,1109.25,1218.37,1230.88,1021.04,988.09,973.1,,,,,,,
New South Wales - Country,"Small—10,000–20,000 connected properties",Goulburn Mulwaree Council,Finance,Revenue,F6,Derived,Revenue per property: wastewater,$/property,,1187.27,,1720.37,1488.12,1489.59,1928.35,1526.14,1271.86,1267.86,1274.66,1433.88,1248.37,1193.77,1199.04,,,,,,,
New South Wales - Country,"Small—10,000–20,000 connected properties",Goulburn Mulwaree Council,Finance,Revenue,F7,Derived,Total income per property,$/property,,1830.38,,2675.01,2459.38,2595.84,3286.86,2692.44,2410.12,2320.73,2541.81,2614.65,2244.45,2129.42,2154.12,,,,,,,
New South Wales - Country,"Small—10,000–20,000 connected properties",Goulburn Mulwaree Council,Finance,Revenue from community service obligations (CSOs),F8,Derived,Community service obligations ratio,ratio,,0.0078,0.0071,0.006,0.007,0.0066,0.0055,0.0072,0,0.0022,0.0086,0.0092,0.0099,0.0106,0.0111,,,,,,,
New South Wales - Country,"Small—10,000–20,000 connected properties",Goulburn Mulwaree Council,Finance,Costs,F9,Report,Written-down replacement cost of fixed water supply assets,$ 000s,,252073,,218024.931,224343.97,241442.212,245398.32,244231.075,261209.407,259773.847,254338.998,258533.152,259064.01,226013.396,194337.968,,,,,,,
New South Wales - Country,"Small—10,000–20,000 connected properties",Goulburn Mulwaree Council,Finance,Costs,F10,Report,Written-down replacement cost of fixed wastewater assets,$ 000s,,196190,,122952.021,198090.553,133090.214,138111.369,115209.256,109754.533,101560.592,105607.862,103920.516,103425.864,104434.555,119893.289,,,,,,,
New South Wales - Country,"Small—10,000–20,000 connected properties",Goulburn Mulwaree Council,Finance,Costs,F11,Derived,Operating cost per property: water supply,$/property,,519.85,558.68,449.37,590.7,332.68,471.56,452.03,465.42,523.99,522.87,522.93,504.61,462.45,530.91,,,,,,,
